quantity,unit_price,order_date,promised_delivery_time,actual_delivery_time,delivery_status_x,order_total,payment_method,product_name_x,category_x,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level,delivery_time_minutes_x,distance_km_x,delivery_status_y,order_hour,order_dayofweek,is_weekend,customer_total_orders,customer_total_spend,customer_avg_order_value,customer_total_quantity,last_order_date,customer_recency_days,is_repeat_customer,product_name_y,category_y,total_units_sold,product_total_revenue,product_revenue_share,delivery_time_minutes_y,distance_km_y,delayed_flag
3,517.03,2024-07-17 08:34:01,2024-07-17 08:52:01,2024-07-17 08:47:01,On Time,3197.07,Cash,pet treats,pet care,pillay-ahuja,517.03,795.43,35.0,365,16,57,-5.0,0.96,On Time,8,2,0,3,7183.56,2394.52,9,2024-09-25 11:15:52,40,1,pet treats,pet care,43,50653.05,0.004600929295423,-5.0,0.96,0
1,881.42,2024-05-28 13:14:29,2024-05-28 13:25:29,2024-05-28 13:27:29,On Time,976.55,Cash,orange juice,cold drinks & juices,baral-kamdar,881.42,1259.17,30.0,180,19,65,2.0,0.98,On Time,13,1,0,4,8601.02,2150.255,9,2024-07-17 17:30:24,110,1,orange juice,cold drinks & juices,30,29611.1,0.0026896421332911,2.0,0.98,0
2,923.84,2024-09-23 13:07:12,2024-09-23 13:25:12,2024-09-23 13:29:12,On Time,839.05,UPI,eggs,dairy & breakfast,prasad llc,923.84,1154.8,20.0,7,13,62,4.0,3.83,On Time,13,0,0,5,13118.19,2623.638,9,2024-09-23 13:07:12,42,1,eggs,dairy & breakfast,19,16201.28,0.0014715983297225,4.0,3.83,0
1,874.78,2023-11-24 16:16:56,2023-11-24 16:34:56,2023-11-24 16:33:56,On Time,440.23,Card,orange juice,cold drinks & juices,gupta ltd,874.78,1249.69,30.0,180,21,90,-1.0,2.76,On Time,16,4,0,3,7415.13,2471.71,5,2024-01-12 21:44:51,296,1,orange juice,cold drinks & juices,32,37380.54,0.0033953576648342,-1.0,2.76,0
2,976.55,2023-11-20 05:00:39,2023-11-20 05:17:39,2023-11-20 05:18:39,On Time,2526.68,Cash,nuts,snacks & munchies,bahl-pau,976.55,1502.38,35.0,90,12,75,1.0,2.63,On Time,5,0,0,3,4266.13,1422.0433333333333,6,2024-04-17 04:26:13,201,1,nuts,snacks & munchies,38,39588.43,0.0035959052287434,1.0,2.63,0
1,321.28,2023-03-18 16:29:51,2023-03-18 16:49:51,2023-03-18 16:48:51,On Time,3161.43,UPI,mango drink,cold drinks & juices,dass and sons,321.28,458.97,30.0,180,20,91,-1.0,1.94,On Time,16,5,1,3,5273.8,1757.9333333333334,6,2024-02-09 10:16:54,269,1,mango drink,cold drinks & juices,45,51786.69,0.0047039003403347,-1.0,1.94,0
3,517.77,2023-04-16 18:50:37,2023-04-16 19:01:37,2023-04-16 19:02:37,On Time,956.4,Card,vitamins,pharmacy,"pai, kashyap and ramachandran",517.77,647.21,20.0,365,16,85,1.0,2.2,On Time,18,6,1,1,956.4,956.4,3,2023-04-16 18:50:37,568,0,vitamins,pharmacy,43,50182.12,0.0045581536751377,1.0,2.2,0
2,359.98,2024-03-31 06:26:48,2024-03-31 06:37:48,2024-03-31 06:39:48,On Time,905.47,Cash,bread,dairy & breakfast,aggarwal group,359.98,449.98,20.0,7,18,81,2.0,1.3,On Time,6,6,1,4,11203.08,2800.77,9,2024-03-31 06:26:48,218,1,bread,dairy & breakfast,28,38755.23,0.0035202238178719,2.0,1.3,0
1,80.25,2023-07-13 23:49:36,2023-07-14 00:02:36,2023-07-14 00:05:36,On Time,1371.17,Card,lotion,personal care,"roy, barad and de",80.25,123.46,35.0,365,12,67,3.0,3.38,On Time,23,3,0,2,2816.71,1408.355,4,2023-07-22 08:32:43,471,1,lotion,personal care,32,47059.24,0.0042744955325759,3.0,3.38,0
2,563.45,2023-08-09 01:17:30,2023-08-09 01:37:30,2023-08-09 01:44:30,Slightly Delayed,1601.19,Wallet,pet treats,pet care,"khurana, khosla and yohannan",563.45,866.85,35.0,365,23,93,7.0,1.47,Slightly Delayed,1,2,0,2,5073.74,2536.87,3,2024-03-04 08:49:03,245,1,pet treats,pet care,33,43973.04,0.0039941691160711,7.0,1.47,0
