feature,coefficient,abs_coef
cat__product_name_y_eggs,-41.014816466141134,41.014816466141134
cat__product_name_x_eggs,-41.014815548046805,41.014815548046805
cat__product_name_y_carrots,-39.306948211797355,39.306948211797355
cat__product_name_x_carrots,-39.306947972432596,39.306947972432596
num__is_weekend,38.94804520954352,38.94804520954352
"cat__brand_batra, sant and mandal",-38.798678319293614,38.798678319293614
cat__product_name_y_frozen biryani,35.42792992632301,35.42792992632301
cat__product_name_x_frozen biryani,35.42792773527719,35.42792773527719
cat__brand_chauhan-sabharwal,35.02070677769075,35.02070677769075
cat__product_name_y_curd,-34.1815365588707,34.1815365588707
cat__product_name_x_curd,-34.181535734217704,34.181535734217704
cat__brand_kapadia-d’alia,-33.093191545267835,33.093191545267835
cat__product_name_x_butter,32.867553891709356,32.867553891709356
cat__product_name_y_butter,32.86755247372823,32.86755247372823
cat__product_name_y_cereal,32.0469401822125,32.0469401822125
cat__product_name_x_cereal,32.04693892953531,32.04693892953531
num__is_repeat_customer,31.76647367339623,31.76647367339623
cat__product_name_y_salt,30.730799747221827,30.730799747221827
cat__product_name_x_salt,30.730797649926412,30.730797649926412
"cat__brand_grewal, swamy and dayal",29.90623055161204,29.90623055161204
"cat__brand_raghavan, magar and shanker",-28.253051914332868,28.253051914332868
cat__brand_ramesh inc,28.15411261041664,28.15411261041664
num__quantity,27.419392613374956,27.419392613374956
cat__brand_jha group,26.73195630113769,26.73195630113769
cat__brand_edwin and sons,-26.367949054802864,26.367949054802864
cat__payment_method_Card,25.876513703831787,25.876513703831787
cat__product_name_y_lotion,-25.589604058363843,25.589604058363843
cat__product_name_x_lotion,-25.5896012374054,25.5896012374054
cat__brand_mitter group,-24.795852017221918,24.795852017221918
"cat__brand_dayal, mammen and more",-24.570267416404537,24.570267416404537
cat__brand_sastry-issac,-23.829669321559823,23.829669321559823
"cat__brand_shere, thakur and naik",-23.253582039089988,23.253582039089988
cat__brand_purohit group,-23.23592472764843,23.23592472764843
"cat__brand_sangha, nagar and varty",22.892906665493747,22.892906665493747
num__total_units_sold,-22.80511481092619,22.80511481092619
cat__brand_banik-ratta,22.695744611764265,22.695744611764265
cat__product_name_y_chips,-22.491887130547955,22.491887130547955
cat__product_name_x_chips,-22.491886866235483,22.491886866235483
"cat__brand_minhas, kapoor and sethi",-22.45021527126477,22.45021527126477
cat__brand_som inc,22.337197793617428,22.337197793617428
cat__brand_mandal-kar,22.169838299064843,22.169838299064843
cat__brand_chaudhuri plc,22.13495858012757,22.13495858012757
cat__brand_char-divan,-21.955280549086815,21.955280549086815
cat__brand_padmanabhan-virk,21.51103443303985,21.51103443303985
cat__category_y_personal care,-21.49158917643964,21.49158917643964
cat__category_x_personal care,-21.491585553250417,21.491585553250417
cat__brand_ram-suri,21.36660311939224,21.36660311939224
cat__brand_prasad llc,-21.333536146370534,21.333536146370534
cat__product_name_x_spinach,21.220245768361565,21.220245768361565
"cat__brand_thakur, shah and pingle",21.22024571506002,21.22024571506002
cat__product_name_y_spinach,21.22024565565466,21.22024565565466
"cat__brand_roy, seth and patla",-20.79528843393803,20.79528843393803
"cat__brand_sura, pillay and mammen",20.68155989044165,20.68155989044165
cat__category_x_household care,20.25100333015195,20.25100333015195
